Assembly,Part,Qty,3D Printed,Link
Rxn Bench Platform,SOVOL SV08 3D Printer,1,No,https://www.sovol3d.com/products/sovol-sv08-3d-printer
Rxn Bench Platform,Workspace,1,Yes
Rxn Bench Platform,Footprints,5,Yes,
6x2mm Neodymium Magnet,40,No,
Rxn Bench Computer,Raspberry Pi 5,1,No,https://www.raspberrypi.com/products/raspberry-pi-5/
Rxn Bench Computer,Raspberry Pi 5 Case,1,Yes,
Rxn Bench Computer,Rxn Bench Case,1,Yes
Rxn Bench Computer,Raspberry Pi 5 Power Supply,1,No,https://www.raspberrypi.com/products/27w-power-supply/
Rxn Bench Computer,5 Port Ethernet Switch,1,No,https://www.amazon.com/dp/B0D9JBTBZB?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
pH Probe Assembly,pH Probe Mount,1,Yes,../hardware_models/ph-probe_assembly/pH Probe Mount.stl
pH Probe Assembly,pH Probe Lid,1,Yes,../hardware_models/ph-probe_assembly/pH Probe Lid.stl
pH Probe Assembly,EZO pH Circuit,1,No,https://atlas-scientific.com/embedded-solutions/ezo-ph-circuit/
pH Probe Assembly,EZO Carrier Board (5-pin),1,No,https://atlas-scientific.com/carrier-boards/electrically-isolated-ezo-carrier-board-gen-2/
pH Probe Assembly,Spear Tip / Soil pH Probe,1,No,https://atlas-scientific.com/probes/spear-tip-ph-probe/
pH Probe Assembly,M3x6mm Threaded Heat Insert,4,No,
pH Probe Assembly,6x2mm Neodymium Magnet,4,No,
Washing Station,EZO-PMP Basic Kit, 1, No, https://atlas-scientific.com/kits/ezo-pmp-kit/
Washing Station,EZO-PMP Case, 1, Yes, 
Washing Station,M3x6mm Threaded Heat Insert,2,No,
Washing Station,Washing Station Footprint,1,Yes,
Washing Station,Washing Station Shower Lid,1,Yes,
Washing Station,Washing Station Base,1,Yes,
Washing Station,6x2mm Neodymium Magnet,4,No,
Liquid Handler Assembly,Pipette Cone Assembly,1,No,https://www.pipettesupplies.com/product/e1-clip-tip-tip-cone-assembly-single-channel-1250-l-t/
Liquid Handler Assembly,Stepper Linear Actuator,1,No,https://www.haydonkerkpittman.com/products/linear-actuators/can-stack-stepper
Single Tool Mount,Toolhead Mount w/ Magnets for MGN12 Carriage,1,Yes,../hardware_models/platform/Toolhead Mount For MGN12 Carriage.stl
Single Tool Mount,SOVOL-SV08 Mounting Bracket,1,Yes,../hardware_models/platform/SOVOL-SV08 Mounting Bracket.stl
Single Tool Mount,6x2mm Neodymium Magnet,4,No,
Single Tool Mount,M3x8mm Machine Screw,4,No,
Single Tool Mount,M3x7mm Threaded Heat Insert,4,No,
Single Tool Mount,M3x6mm Threaded Heat Insert,3,No,
Multi Tool Mount - Complex,Two-Head Base Board,1,Yes,../hardware_models/platform/Two-Head Base Board.stl
Multi Tool Mount - Complex,Toolhead Mount w/ Magnets for MGN12 Carriage,2,Yes,../hardware_models/platform/Toolhead Mount For MGN12 Carriage.stl
Multi Tool Mount - Complex,100mm MGN12 Rail and Carriage,2,No,
Multi Tool Mount - Complex,M3x7mm Threaded Heat Insert,11,No,
Multi Tool Mount - Complex,M3x8mm Machine Screw,16,No,
Multi Tool Mount - Complex,Nema14 Stepper Motor,1,No,
Multi Tool Mount - Complex,SOVOL-SV08 Big Boy Mounting Bracket,1,Yes,../hardware_models/platform/SOVOL-SV08 Big Boy Mounting Bracket.stl
Multi Tool Mount - Complex,GT2 Timing Belt (6mm width),1,No,
Multi Tool Mount - Complex,GT2 Belt Tensioner Clamp (Nema14),1,No,
Multi Tool Mount - Complex,M3x12mm Machine Screw,4,No,
Multi Tool Mount - Complex,M5x8mm Threaded Heat Insert,3,No,
Multi Tool Mount - Complex,M5x12mm Machine Screw,3,No,
Multi Tool Mount - Complex,Neodymium Magnet,8,No,
Multi Tool Mount - Complex,Mount Pin,4,Yes,../hardware_models/platform/Mount Pin.stl
Multi Tool Mount - Complex,Stepper Motor Driver Circuit,1,No,
Multi Tool Mount - Complex,M2x2mm Threaded Heat Insert,12,No,
Multi Tool Mount - Complex,Belt Clamp,6,Yes,../hardware_models/platform/Belt Clamp.stl
Multi Tool Mount - Complex,M2x2mm Machine Screw,12,No,

Required Tools,
Set of metric screwdrivers and hex/allen wrenches (at least M3 and M5),
Temperature-controlled soldering iron,
Super glue,
Hard flat surface,
Mallet or hammer,
3D printer,
