timestamp,t,ph
2026-07-22T11:51:11.817,0.0,9.468
2026-07-22T11:51:13.454,1.876,9.467
2026-07-22T11:51:15.092,3.514,9.434
2026-07-22T11:51:16.729,5.151,9.413
2026-07-22T11:51:18.366,6.788,9.386
2026-07-22T11:51:20.003,8.425,9.35
2026-07-22T11:51:21.639,10.062,9.339
2026-07-22T11:51:23.276,11.699,9.31
2026-07-22T11:51:24.914,13.336,9.308
2026-07-22T11:51:26.550,14.973,9.272
2026-07-22T11:51:28.187,16.61,9.266
2026-07-22T11:51:29.825,18.246,9.236
2026-07-22T11:51:31.461,19.884,9.24
2026-07-22T11:51:33.099,21.521,9.213
2026-07-22T11:51:34.737,23.158,9.212
2026-07-22T11:51:36.374,24.796,9.195
2026-07-22T11:51:38.012,26.434,9.178
2026-07-22T11:51:39.649,28.071,9.181
2026-07-22T11:51:41.286,29.708,9.157
2026-07-22T11:51:42.922,31.345,9.16
2026-07-22T11:51:44.560,32.982,9.14
2026-07-22T11:51:46.198,34.619,9.143
2026-07-22T11:51:47.835,36.257,9.113
2026-07-22T11:51:49.473,37.894,9.124
2026-07-22T11:51:51.110,39.532,9.103
2026-07-22T11:51:52.747,41.169,9.109
2026-07-22T11:51:54.384,42.806,9.08
2026-07-22T11:51:56.022,44.444,9.086
2026-07-22T11:51:57.659,46.082,9.07
2026-07-22T11:51:59.297,47.719,9.068
2026-07-22T11:52:00.934,49.356,9.059
2026-07-22T11:52:02.572,50.994,9.048
2026-07-22T11:52:04.208,52.631,9.031
2026-07-22T11:52:05.845,54.267,9.031
2026-07-22T11:52:07.482,55.904,9.008
2026-07-22T11:52:09.119,57.541,9.009
2026-07-22T11:52:10.756,59.178,8.993
2026-07-22T11:52:12.394,60.816,8.993
2026-07-22T11:52:14.031,62.453,8.965
2026-07-22T11:52:15.669,64.091,8.966
2026-07-22T11:52:17.306,65.728,8.94
2026-07-22T11:52:18.944,67.366,8.949
2026-07-22T11:52:20.582,69.004,8.928
2026-07-22T11:52:22.219,70.641,8.918
2026-07-22T11:52:23.857,72.279,8.906
2026-07-22T11:52:25.494,73.916,8.894
2026-07-22T11:52:27.131,75.553,8.883
2026-07-22T11:52:28.769,77.19,8.882
2026-07-22T11:52:30.406,78.828,8.872
2026-07-22T11:52:32.043,80.466,8.852
2026-07-22T11:52:33.680,82.102,8.849
2026-07-22T11:52:35.318,83.74,8.828
2026-07-22T11:52:36.955,85.378,8.829
2026-07-22T11:52:38.593,87.015,8.812
2026-07-22T11:52:40.230,88.652,8.813
2026-07-22T11:52:41.867,90.289,8.789
2026-07-22T11:52:43.504,91.926,8.799
2026-07-22T11:52:45.141,93.563,8.768
2026-07-22T11:52:46.779,95.201,8.776
2026-07-22T11:52:48.417,96.839,8.766
2026-07-22T11:52:50.055,98.477,8.744
2026-07-22T11:52:51.693,100.115,8.744
2026-07-22T11:52:53.330,101.752,8.727
2026-07-22T11:52:54.967,103.39,8.723
2026-07-22T11:52:56.605,105.026,8.718
2026-07-22T11:52:58.243,106.665,8.699
2026-07-22T11:52:59.881,108.302,8.699
2026-07-22T11:53:01.518,109.94,8.692
2026-07-22T11:53:03.155,111.578,8.676
2026-07-22T11:53:04.792,113.214,8.68
2026-07-22T11:53:06.429,114.851,8.658
2026-07-22T11:53:08.066,116.489,8.667
2026-07-22T11:53:09.704,118.126,8.643
2026-07-22T11:53:11.342,119.764,8.641
2026-07-22T11:53:12.979,121.401,8.64
