timestamp,t,ph
2026-07-22T12:00:13.668,0.0,4.959
2026-07-22T12:00:15.305,2.007,4.996
2026-07-22T12:00:16.942,3.644,5.02
2026-07-22T12:00:18.579,5.281,5.042
2026-07-22T12:00:20.216,6.918,5.05
2026-07-22T12:00:21.853,8.555,5.082
2026-07-22T12:00:23.491,10.193,5.093
2026-07-22T12:00:25.129,11.83,5.093
2026-07-22T12:00:26.767,13.468,5.112
2026-07-22T12:00:28.404,15.106,5.139
2026-07-22T12:00:30.042,16.743,5.147
2026-07-22T12:00:31.679,18.381,5.147
2026-07-22T12:00:33.315,20.018,5.175
2026-07-22T12:00:34.952,21.654,5.182
2026-07-22T12:00:36.589,23.291,5.189
2026-07-22T12:00:38.226,24.929,5.21
2026-07-22T12:00:39.864,26.565,5.201
2026-07-22T12:00:41.501,28.203,5.224
2026-07-22T12:00:43.138,29.84,5.241
2026-07-22T12:00:44.776,31.478,5.237
2026-07-22T12:00:46.414,33.116,5.223
2026-07-22T12:00:48.051,34.753,5.235
2026-07-22T12:00:49.689,36.391,5.25
2026-07-22T12:00:51.327,38.028,5.236
2026-07-22T12:00:52.964,39.666,5.225
2026-07-22T12:00:54.601,41.303,5.237
2026-07-22T12:00:56.238,42.94,5.232
2026-07-22T12:00:57.875,44.577,5.218
2026-07-22T12:00:59.512,46.214,5.225
2026-07-22T12:01:01.150,47.852,5.215
2026-07-22T12:01:02.787,49.489,5.199
2026-07-22T12:01:04.424,51.126,5.209
2026-07-22T12:01:06.061,52.763,5.193
2026-07-22T12:01:07.698,54.4,5.179
2026-07-22T12:01:09.336,56.037,5.186
2026-07-22T12:01:10.974,57.676,5.179
2026-07-22T12:01:12.611,59.313,5.156
2026-07-22T12:01:14.248,60.95,5.157
2026-07-22T12:01:15.885,62.587,5.149
2026-07-22T12:01:17.522,64.225,5.134
2026-07-22T12:01:19.159,65.862,5.143
2026-07-22T12:01:20.797,67.498,5.12
2026-07-22T12:01:22.434,69.136,5.107
2026-07-22T12:01:24.072,70.773,5.113
2026-07-22T12:01:25.709,72.411,5.096
2026-07-22T12:01:27.347,74.049,5.082
2026-07-22T12:01:28.984,75.686,5.085
2026-07-22T12:01:30.621,77.323,5.068
2026-07-22T12:01:32.258,78.96,5.065
2026-07-22T12:01:33.895,80.597,5.063
2026-07-22T12:01:35.533,82.235,5.048
2026-07-22T12:01:37.170,83.872,5.035
2026-07-22T12:01:38.808,85.509,5.043
2026-07-22T12:01:40.445,87.147,5.028
2026-07-22T12:01:42.083,88.784,5.018
2026-07-22T12:01:43.720,90.422,5.025
2026-07-22T12:01:45.357,92.059,5.01
2026-07-22T12:01:46.994,93.696,5.007
2026-07-22T12:01:48.632,95.334,5.014
2026-07-22T12:01:50.271,96.972,4.999
2026-07-22T12:01:51.908,98.61,4.987
2026-07-22T12:01:53.546,100.248,4.992
2026-07-22T12:01:55.184,101.885,5.001
2026-07-22T12:01:56.821,103.523,4.983
2026-07-22T12:01:58.459,105.161,4.976
2026-07-22T12:02:00.097,106.799,4.985
2026-07-22T12:02:01.734,108.436,4.984
2026-07-22T12:02:03.371,110.073,4.971
2026-07-22T12:02:05.009,111.71,4.982
2026-07-22T12:02:06.646,113.348,4.967
2026-07-22T12:02:08.283,114.985,4.973
2026-07-22T12:02:09.921,116.622,4.979
2026-07-22T12:02:11.558,118.26,4.963
2026-07-22T12:02:13.196,119.897,4.967
2026-07-22T12:02:14.833,121.535,4.972
