timestamp,t,ph
2026-07-22T12:30:19.324,0.0,10.509
2026-07-22T12:30:20.962,1.637,10.405
2026-07-22T12:30:22.601,3.275,10.316
2026-07-22T12:30:24.239,4.914,10.263
2026-07-22T12:30:25.878,6.552,10.231
2026-07-22T12:30:27.516,8.191,10.2
2026-07-22T12:30:29.156,9.83,10.158
2026-07-22T12:30:30.794,11.469,10.131
2026-07-22T12:30:32.432,13.107,10.102
2026-07-22T12:30:34.072,14.746,10.081
2026-07-22T12:30:35.711,16.385,10.066
2026-07-22T12:30:37.349,18.024,10.05
2026-07-22T12:30:38.988,19.663,10.025
2026-07-22T12:30:40.625,21.301,9.994
2026-07-22T12:30:42.262,22.939,9.994
2026-07-22T12:30:43.900,24.575,9.981
2026-07-22T12:30:45.537,26.213,9.958
2026-07-22T12:30:47.174,27.85,9.956
2026-07-22T12:30:48.811,29.488,9.932
2026-07-22T12:30:50.449,31.124,9.924
2026-07-22T12:30:52.087,32.763,9.922
2026-07-22T12:30:53.724,34.4,9.895
2026-07-22T12:30:55.361,36.037,9.882
2026-07-22T12:30:56.999,37.675,9.875
2026-07-22T12:30:58.636,39.312,9.854
2026-07-22T12:31:00.274,40.95,9.849
2026-07-22T12:31:01.912,42.588,9.839
2026-07-22T12:31:03.548,44.225,9.81
2026-07-22T12:31:05.185,45.861,9.811
2026-07-22T12:31:06.822,47.498,9.796
2026-07-22T12:31:08.459,49.135,9.786
2026-07-22T12:31:10.097,50.773,9.779
2026-07-22T12:31:11.734,52.41,9.758
2026-07-22T12:31:13.372,54.048,9.739
2026-07-22T12:31:15.009,55.685,9.737
2026-07-22T12:31:16.647,57.323,9.727
2026-07-22T12:31:18.283,58.96,9.701
2026-07-22T12:31:19.920,60.596,9.7
2026-07-22T12:31:21.557,62.233,9.697
2026-07-22T12:31:23.194,63.87,9.675
2026-07-22T12:31:24.832,65.507,9.655
2026-07-22T12:31:26.469,67.145,9.656
2026-07-22T12:31:28.107,68.782,9.653
2026-07-22T12:31:29.744,70.42,9.646
2026-07-22T12:31:31.382,72.058,9.633
2026-07-22T12:31:33.018,73.695,9.606
2026-07-22T12:31:34.656,75.332,9.603
2026-07-22T12:31:36.292,76.969,9.601
2026-07-22T12:31:37.930,78.606,9.587
2026-07-22T12:31:39.567,80.243,9.567
2026-07-22T12:31:41.204,81.88,9.56
2026-07-22T12:31:42.840,83.517,9.558
2026-07-22T12:31:44.478,85.153,9.535
2026-07-22T12:31:46.116,86.791,9.526
2026-07-22T12:31:47.753,88.429,9.516
2026-07-22T12:31:49.390,90.066,9.516
2026-07-22T12:31:51.028,91.704,9.503
2026-07-22T12:31:52.665,93.341,9.488
2026-07-22T12:31:54.302,94.978,9.487
2026-07-22T12:31:55.940,96.615,9.474
2026-07-22T12:31:57.578,98.253,9.457
2026-07-22T12:31:59.216,99.891,9.445
2026-07-22T12:32:00.853,101.529,9.434
2026-07-22T12:32:02.490,103.166,9.44
2026-07-22T12:32:04.128,104.803,9.413
2026-07-22T12:32:05.764,106.441,9.41
2026-07-22T12:32:07.402,108.077,9.409
2026-07-22T12:32:09.039,109.715,9.38
2026-07-22T12:32:10.676,111.352,9.38
2026-07-22T12:32:12.314,112.989,9.372
2026-07-22T12:32:13.951,114.627,9.356
2026-07-22T12:32:15.588,116.264,9.366
2026-07-22T12:32:17.225,117.901,9.335
2026-07-22T12:32:18.862,119.539,9.327
2026-07-22T12:32:20.500,121.175,9.328
