Flow 1,Flow 2,Flow 3,Temperature
0.05,0.3,0.25,20
0.175,0.3,0.125,20
0.3,0.3,0,20
0.2375,0.2375,0.125,20
0.1125,0.2375,0.25,20
0.05,0.175,0.375,20
0.175,0.175,0.25,20
0.3,0.175,0.125,20
0.2375,0.1125,0.25,20
0.1125,0.1125,0.375,20
0.175,0.05,0.375,20
0.3,0.05,0.25,20
0.3,0.05,0.25,22
0.175,0.05,0.375,22
0.1125,0.1125,0.375,22
0.2375,0.1125,0.25,22
0.3,0.175,0.125,22
0.175,0.175,0.25,22
0.05,0.175,0.375,22
0.1125,0.2375,0.25,22
0.2375,0.2375,0.125,22
0.3,0.3,0,22
0.175,0.3,0.125,22
0.05,0.3,0.25,22
0.05,0.3,0.25,24
0.175,0.3,0.125,24
0.3,0.3,0,24
0.2375,0.2375,0.125,24
0.1125,0.2375,0.25,24
0.05,0.175,0.375,24
0.175,0.175,0.25,24
0.3,0.175,0.125,24
0.2375,0.1125,0.25,24
0.1125,0.1125,0.375,24
0.175,0.05,0.375,24
0.3,0.05,0.25,24
0.3,0.05,0.25,26
0.175,0.05,0.375,26
0.1125,0.1125,0.375,26
0.2375,0.1125,0.25,26
0.3,0.175,0.125,26
0.175,0.175,0.25,26
0.05,0.175,0.375,26
0.1125,0.2375,0.25,26
0.2375,0.2375,0.125,26
0.3,0.3,0,26
0.175,0.3,0.125,26
0.05,0.3,0.25,26
0.05,0.3,0.25,28
0.175,0.3,0.125,28
0.3,0.3,0,28
0.2375,0.2375,0.125,28
0.1125,0.2375,0.25,28
0.05,0.175,0.375,28
0.175,0.175,0.25,28
0.3,0.175,0.125,28
0.2375,0.1125,0.25,28
0.1125,0.1125,0.375,28
0.175,0.05,0.375,28
0.3,0.05,0.25,28
0.3,0.05,0.25,30
0.175,0.05,0.375,30
0.1125,0.1125,0.375,30
0.2375,0.1125,0.25,30
0.3,0.175,0.125,30
0.175,0.175,0.25,30
0.05,0.175,0.375,30
0.1125,0.2375,0.25,30
0.2375,0.2375,0.125,30
0.3,0.3,0,30
0.175,0.3,0.125,30
0.05,0.3,0.25,30
0.05,0.3,0.25,32
0.175,0.3,0.125,32
0.3,0.3,0,32
0.2375,0.2375,0.125,32
0.1125,0.2375,0.25,32
0.05,0.175,0.375,32
0.175,0.175,0.25,32
0.3,0.175,0.125,32
0.2375,0.1125,0.25,32
0.1125,0.1125,0.375,32
0.175,0.05,0.375,32
0.3,0.05,0.25,32
0.3,0.05,0.25,34
0.175,0.05,0.375,34
0.1125,0.1125,0.375,34
0.2375,0.1125,0.25,34
0.3,0.175,0.125,34
0.175,0.175,0.25,34
0.05,0.175,0.375,34
0.1125,0.2375,0.25,34
0.2375,0.2375,0.125,34
0.3,0.3,0,34
0.175,0.3,0.125,34
0.05,0.3,0.25,34
0.05,0.3,0.25,36
0.175,0.3,0.125,36
0.3,0.3,0,36
0.2375,0.2375,0.125,36
0.1125,0.2375,0.25,36
0.05,0.175,0.375,36
0.175,0.175,0.25,36
0.3,0.175,0.125,36
0.2375,0.1125,0.25,36
0.1125,0.1125,0.375,36
0.175,0.05,0.375,36
0.3,0.05,0.25,36
0.3,0.05,0.25,38
0.175,0.05,0.375,38
0.1125,0.1125,0.375,38
0.2375,0.1125,0.25,38
0.3,0.175,0.125,38
0.175,0.175,0.25,38
0.05,0.175,0.375,38
0.1125,0.2375,0.25,38
0.2375,0.2375,0.125,38
0.3,0.3,0,38
0.175,0.3,0.125,38
0.05,0.3,0.25,38
0.05,0.3,0.25,40
0.175,0.3,0.125,40
0.3,0.3,0,40
0.2375,0.2375,0.125,40
0.1125,0.2375,0.25,40
0.05,0.175,0.375,40
0.175,0.175,0.25,40
0.3,0.175,0.125,40
0.2375,0.1125,0.25,40
0.1125,0.1125,0.375,40
0.175,0.05,0.375,40
0.3,0.05,0.25,40
0.3,0.05,0.25,45
0.175,0.05,0.375,45
0.1125,0.1125,0.375,45
0.2375,0.1125,0.25,45
0.3,0.175,0.125,45
0.175,0.175,0.25,45
0.05,0.175,0.375,45
0.1125,0.2375,0.25,45
0.2375,0.2375,0.125,45
0.3,0.3,0,45
0.175,0.3,0.125,45
0.05,0.3,0.25,45
0.05,0.3,0.25,50
0.175,0.3,0.125,50
0.3,0.3,0,50
0.2375,0.2375,0.125,50
0.1125,0.2375,0.25,50
0.05,0.175,0.375,50
0.175,0.175,0.25,50
0.3,0.175,0.125,50
0.2375,0.1125,0.25,50
0.1125,0.1125,0.375,50
0.175,0.05,0.375,50
0.3,0.05,0.25,50
0.3,0.05,0.25,55
0.175,0.05,0.375,55
0.1125,0.1125,0.375,55
0.2375,0.1125,0.25,55
0.3,0.175,0.125,55
0.175,0.175,0.25,55
0.05,0.175,0.375,55
0.1125,0.2375,0.25,55
0.2375,0.2375,0.125,55
0.3,0.3,0,55
0.175,0.3,0.125,55
0.05,0.3,0.25,55
0.05,0.3,0.25,60
0.175,0.3,0.125,60
0.3,0.3,0,60
0.2375,0.2375,0.125,60
0.1125,0.2375,0.25,60
0.05,0.175,0.375,60
0.175,0.175,0.25,60
0.3,0.175,0.125,60
0.2375,0.1125,0.25,60
0.1125,0.1125,0.375,60
0.175,0.05,0.375,60
0.3,0.05,0.25,60
0.3,0.05,0.25,65
0.175,0.05,0.375,65
0.1125,0.1125,0.375,65
0.2375,0.1125,0.25,65
0.3,0.175,0.125,65
0.175,0.175,0.25,65
0.05,0.175,0.375,65
0.1125,0.2375,0.25,65
0.2375,0.2375,0.125,65
0.3,0.3,0,65
0.175,0.3,0.125,65
0.05,0.3,0.25,65
0.05,0.3,0.25,70
0.175,0.3,0.125,70
0.3,0.3,0,70
